WorkID	GenreName
M1	Black
M1	Comedy
M1	Drama
M2	Biographical
M2	Drama
M3	Coming of Age
M3	Drama
M4	Comedy
M5	Historical
M5	Thriller
M6	Historical
M6	Drama
M7	Biographical
M7	Coming of Age
M7	Romantic
M7	Drama
M8	Drama
M9	Biographical
M9	True Crime
M9	Drama
M10	Drama
M11	Drama
M12	Psychological
M12	Thriller
M13	Biographical
M13	Drama
M14	Drama
M15	Musical
M15	Fantasy
M15	Drama
M16	Neo-noir
M16	Crime
M16	Thriller
M17	Crime
M17	Comedy
M17	Drama
M18	3D
M18	Animated
M18	Superhero
M18	Action
M18	Comedy
M19	Stop Motion
M19	Animated
M19	Fantasy
M19	Comedy
M20	Animated
M20	3D
M19	3D
M20	Action
M20	Fantasy
M21	Animated
M21	Fantasy
M22	Animated
M22	Fantasy
M22	Drama
M23	Drama
M24	Drama
M25	Drama
M26	Drama
M27	Black
M27	Comedy
M27	Drama
M28	Documentary
M29	Documentary
M30	Documentary
M31	Documentary
M32	Documentary
M33	Documentary
M33	Short Film
M34	Documentary
M34	Short Film
M35	Documentary
M35	Short Film
M36	Documentary
M36	Short Film
M37	Documentary
M37	Short Film
M38	Short Film
M39	Short Film
M40	Short Film
M41	Short Film
M42	Short Film
M43	Animated
M43	Short Film
M44	Animated
M44	Short Film
M45	Period
M45	Drama
M46	Crime
M46	Comedy
M46	Drama
M47	Thriller
M48	Biographical
M48	Drama
M49	Science Fiction
M49	Thriller
M50	Romantic
M50	Comedy
M50	Drama
M51	Black and White
M51	Road
M51	Comedy
M51	Drama
M52	Drama
M53	Biographical
M53	Black
M53	Comedy
M53	Drama
M54	Dark
M54	Comedy
M54	Drama
M55	Drama
M56	Romantic
M56	Drama
M57	3D
M57	Animated
M57	Musical
M57	Fantasy
M57	Comedy
M58	3D
M58	Animated
M58	Adventure
M58	Comedy
M59	3D
M59	Animated
M59	Comedy
M60	Animated
M60	Comedy
M60	Drama
M61	Animated
M61	Historical
M61	Drama
M62	Period
M62	Drama
M63	Biographical
M63	Drama
M64	Survival
M64	Drama
M65	Epic
M65	Fantasy
M65	Adventure
M66	War
M67	Comedy
M67	Drama
M68	3D
M68	Drama
M69	Animated
M69	Short Film
M70	Animated
M70	Short Film
M71	Animated
M71	Short Film
M72	Science Fiction
M72	Epic
M73	Biographical
M73	Drama
M74	Animated
M74	Adventure
M74	Comedy
M75	Romantic
M75	Drama
