AwardID	AwardName	YearGiven	Result	ShowName	WorkID	PersonName
E1	Outstanding Comedy Series	2014	Won	Emmys	T1	NULL
E2	Outstanding Comedy Series	2014	Nominated	Emmys	T2	NULL
E3	Outstanding Comedy Series	2014	Nominated	Emmys	T3	NULL
E4	Outstanding Comedy Series	2014	Nominated	Emmys	T4	NULL
E5	Outstanding Comedy Series	2014	Nominated	Emmys	T5	NULL
E6	Outstanding Comedy Series	2014	Nominated	Emmys	T6	NULL
E7	Outstanding Drama Series	2014	Won	Emmys	T7	NULL
E8	Outstanding Drama Series	2014	Nominated	Emmys	T8	NULL
E9	Outstanding Drama Series	2014	Nominated	Emmys	T9	NULL
E10	Outstanding Drama Series	2014	Nominated	Emmys	T10	NULL
E11	Outstanding Drama Series	2014	Nominated	Emmys	T11	NULL
E12	Outstanding Drama Series	2014	Nominated	Emmys	T12	NULL
E13	Outstanding Variety Series	2014	Won	Emmys	T13	NULL
E14	Outstanding Variety Series	2014	Nominated	Emmys	T14	NULL
E15	Outstanding Variety Series	2014	Nominated	Emmys	T15	NULL
E16	Outstanding Variety Series	2014	Nominated	Emmys	T16	NULL
E17	Outstanding Variety Series	2014	Nominated	Emmys	T17	NULL
E18	Outstanding Variety Series	2014	Nominated	Emmys	T18	NULL
E19	Outstanding Miniseries	2014	Won	Emmys	T19	NULL
E20	Outstanding Miniseries	2014	Nominated	Emmys	T20	NULL
E21	Outstanding Miniseries	2014	Nominated	Emmys	T21	NULL
E22	Outstanding Miniseries	2014	Nominated	Emmys	T22	NULL
E23	Outstanding Miniseries	2014	Nominated	Emmys	T23	NULL
E24	Outstanding Miniseries	2014	Nominated	Emmys	T24	NULL
E25	Outstanding Television Movie	2014	Won	Emmys	T25	NULL
E26	Outstanding Television Movie	2014	Nominated	Emmys	T26	NULL
E27	Outstanding Television Movie	2014	Nominated	Emmys	T27	NULL
E28	Outstanding Television Movie	2014	Nominated	Emmys	T28	NULL
E29	Outstanding Television Movie	2014	Nominated	Emmys	T29	NULL
E30	Outstanding Reality - Competition Program	2014	Won	Emmys	T30	NULL
E31	Outstanding Reality - Competition Program	2014	Nominated	Emmys	T31	NULL
E32	Outstanding Reality - Competition Program	2014	Nominated	Emmys	T32	NULL
E33	Outstanding Reality - Competition Program	2014	Nominated	Emmys	T33	NULL
E34	Outstanding Reality - Competition Program	2014	Nominated	Emmys	T34	NULL
E35	Outstanding Reality - Competition Program	2014	Nominated	Emmys	T35	NULL
E36	Outstanding Lead Actor in a Comedy Series	2014	Won	Emmys	T2	Jim Parsons
E37	Outstanding Lead Actor in a Comedy Series	2014	Nominated	Emmys	T3	Louis C.K.
E38	Outstanding Lead Actor in a Comedy Series	2014	Nominated	Emmys	T36	Don Cheadle
E39	Outstanding Lead Actor in a Comedy Series	2014	Nominated	Emmys	T37	Ricky Gervais
E40	Outstanding Lead Actor in a Comedy Series	2014	Nominated	Emmys	T38	Matt LeBlanc
E41	Outstanding Lead Actor in a Comedy Series	2014	Nominated	Emmys	T39	William H. Macy
E42	Outstanding Lead Actress in a Comedy Series	2014	Won	Emmys	T6	Julia Louis-Dreyfus
E43	Outstanding Lead Actress in a Comedy Series	2014	Nominated	Emmys	T40	Lena Dunham
