WorkID	Location	FilmedOrFiction	Latitude	Longitude
M1	New York	Filmed	40.760412	-73.9874576
M2	Los Angeles	Filmed	34.0211224	-118.3964665
M2	Morocco	Filmed	31.791702	-7.09262
M3	Texas	Filmed	29.7221099	-95.3896395
M4	Germany	Filmed	51.1506269	14.968707
M5	Britain	Filmed	51.9965946	-0.7430945
M6	Georgia (state)	Filmed	33.7496117	-84.3883653
M6	Alabama	Filmed	32.4055203	-87.0184779
M7	Britain	Filmed	52.205337	0.121817
M8	Los Angeles	Filmed	34.3916641	-118.542586
M9	Pennsylvania	Filmed	40.4406248	-79.9958864
M10	New York	Filmed	40.8447819	-73.8648268
M11	Belgium	Filmed	50.5838832	5.4996297
M12	Missouri	Filmed	37.3058839	-89.5181476
M13	Oregon	Filmed	42.86765839	-122.1689836
M13	Washington	Filmed	45.6387281	-122.6614861
M14	Massachusetts	Filmed	41.9555556	-70.6647222
M15	London	Filmed	51.1287719	1.3233915
M16	Los Angeles	Filmed	34.0980352	-118.3176632
M17	Los Angeles	Filmed	34.1834293	-117.2674959
M23	Poland	Filmed	51.7592485	19.4559833
M24	Russia	Filmed	67.933333	32.916667
M25	Georgia	Filmed	41.9442736	42.0458091
M26	Mauritania	Filmed	17.2990071	-7.0216191
M27	Argentina	Filmed	-26.0730798	-65.976052
M28	Hong Kong	Filmed	22.3001365	114.1724524
M28	Moscow	Filmed	55.755826	37.6173
M29	Chicago	Filmed	41.8781136	-87.6297982
M30	Vietnam	Filmed	14.058324	108.277199
M31	France	Filmed		
M31	Brazil	Filmed	-19.4959312	-41.0713439
M32	Congo	Filmed	-0.0649884	29.5107708
M33	Canandaigua	Filmed	42.887535	-77.2816984
M34	Poland	Filmed	51.919438	19.145136
M35	Poland	Filmed	51.90546027	19.08608449
M36	Mexico	Filmed		
M37	North Dakota	Filmed		
M38	Britain	Filmed		
M39	Israel	Filmed		
M40	Britain	Filmed		
M41	France	Filmed		
M41	China	Filmed		
M42	Switzerland	Filmed		
M43	United States	Filmed		
M44	Britain	Filmed		
M45	New Orleans	Filmed	29.9584426	-90.0644107
M45	Louisiana	Filmed	29.9512044	-90.1520889
M46	Salem	Filmed	42.5230427	-70.8961265
M46	Worcester	Filmed	42.2731	-71.802
M47	Malta	Filmed	35.889167	14.529444
