WorkID	Title	Artist	isSingle	EligibilityYear	Genre	Release Year
U1	Stay with Me (Darkchild Version)	Sam Smith	Yes	2015	Pop	2014
U2	Fancy	Iggy Azalea	Yes	2015	Pop	2014
U2	Fancy	Charli XCX	Yes	2015	Pop	2014
U3	Chandelier	Sia	Yes	2015	Pop	2014
U4	Shake It Off	Taylor Swift	Yes	2015	Pop	2014
U5	All About That Bass	Meghan Trainor	Yes	2015	Pop	2014
U6	Morning Phase	Beck	No	2015	Rock	2014
U7	Beyonce	Beyonce	No	2015	R&B	2014
U8	x	Ed Sheeran	No	2015	Pop	2014
U9	In the Lonely Hour	Sam Smith	No	2015	Pop	2014
U10	G I R L	Pharrell Williams	No	2015	R&B	2014
U11	Take Me to Church	Andrew Hozier-Byrne	Yes	2015	Rock	2014
U12	Happy (Live)	Pharrell Williams	Yes	2015	Pop	2014
U13	All of Me (Live)	John Legend	Yes	2015	R&B	2014
U14	Say Something	A Great Big World	Yes	2015	Pop	2014
U14	Say Something	Christina Aguilera	Yes	2015	Pop	2014
U15	A Sky Full of Stars	Coldplay	Yes	2015	Pop	2014
U16	Bang Bang	Jessie J	Yes	2015	Pop	2014
U16	Bang Bang	Ariana Grande	Yes	2015	Pop	2014
U16	Bang Bang	Nicki Minaj	Yes	2015	Pop	2014
U17	Dark Horse	Katy Perry	Yes	2015	Pop	2014
U17	Dark Horse	Juicy J	Yes	2015	Pop	2014
U18	Ghost Stories	Coldplay	No	2015	Pop	2014
U19	Bangerz	Miley Cyrus	No	2015	Pop	2014
U20	My Everything	Ariana Grande	No	2015	Pop	2014
U21	Prism	Katy Perry	No	2015	Pop	2014
U22	Cheek to Cheek	Tony Bennett	No	2015	Pop	2014
U22	Cheek to Cheek	Lady Gaga	No	2015	Pop	2014
U23	Nostalgia	Annie Lennox	No	2015	Pop	2014
U24	Night Songs	Barry Manilow	No	2015	Pop	2014
U25	Sending You a Little Christmas	Johnny Mathis	No	2015	Pop	2014
U26	Partners	Barbra Streisand	No	2015	Pop	2014
U27	Rather Be	Clean Bandit	Yes	2015	Dance/Electronica	2014
U27	Rather Be	Jess Glynne	Yes	2015	Dance/Electronica	2014
U28	Never Say Never	Basement	Yes	2015	Dance/Electronica	2014
U28	Never Say Never	ETML	Yes	2015	Dance/Electronica	2014
U29	F For You	Disclosure	Yes	2015	Dance/Electronica	2014
U29	F For You	Mary J. Blige	Yes	2015	Dance/Electronica	2014
U30	I Got U	Duke Dumont	Yes	2015	Dance/Electronica	2014
U30	I Got U	Jax Jones	Yes	2015	Dance/Electronica	2014
U31	Faded	Zhu	Yes	2015	Dance/Electronica	2014
U32	Syro	Aphex Twin	No	2015	Dance/Electronica	2014
U33	while(1<2)	deadmau5	No	2015	Dance/Electronica	2014
U34	Nabuma Rubberband	Little Dragon	No	2015	Dance/Electronica	2014
U35	Do It Again	Royksopp	No	2015	Dance/Electronica	2014
U35	Do It Again	Robyn	No	2015	Dance/Electronica	2014
U36	Damage Control	Mat Zo	No	2015	Dance/Electronica	2014
U37	Bass & Mandolin	Chris Thile	No	2015	Contemporary Instrumental	2014
U37	Bass & Mandolin	Edgar Meyer	No	2015	Contemporary Instrumental	2014
U38	Wild Heart	Mindi Abair	No	2015	Contemporary Instrumental	2014
U39	Slam Dunk	Gerald Albright	No	2015	Contemporary Instrumental	2014
U40	Nathan East	Nathan East	No	2015	Contemporary Instrumental	2014
U41	Jazz Funk Soul	Jeff Lorber	No	2015	Contemporary Instrumental	2014
U41	Jazz Funk Soul	Chuck Loeb	No	2015	Contemporary Instrumental	2014
U41	Jazz Funk Soul	Everette Harp	No	2015	Contemporary Instrumental	2014
U42	Lazaretto	Jack White	Yes	2015	Rock & Alternative	2014
U43	Gimme Something Good	Ryan Adams	Yes	2015	Rock	2014
U44	Do I Wanna Know?	Arctic Monkeys	Yes	2015	Rock	2014
U45	Blue Moon	Beck	Yes	2015	Rock	2014
U46	Fever	The Black Keys	Yes	2015	Rock	2014
U47	The Last in Line	Tenacious D	Yes	2015	Rock	2014
U48	Neon Knights	Anthrax	Yes	2015	Rock	2014
U49	High Road	Mastodon	Yes	2015	Rock	2014
U50	Heartbreaker	Motorhead	Yes	2015	Rock	2014
U51	The Negative One	Slipknot	Yes	2015	Rock	2014
U52	Ain't It Fun	Paramore	Yes	2015	Rock	2014
U53	Fever	The Black Keys	Yes	2015	Rock	2014
U54	Ryan Adams	Ryan Adams	No	2015	Rock	2014
U55	Turn Blue	The Black Keys	No	2015	Rock	2014
U56	Hypnotic Eye	Tom Petty	No	2015	Rock	2014
U56	Hypnotic Eye	The Heartbreakers	No	2015	Rock	2014
U57	Songs of Innocence	U2	No	2015	Rock	2014
U58	St. Vincent	St. Vincent	No	2015	Alternative	2014
U59	This Is All Yours	alt-J	No	2015	Alternative	2014
U60	Reflektor	Arcade Fire	No	2015	Alternative	2014
U61	Melophobia	Cage the Elephant	No	2015	Alternative	2014
U62	Drunk in Love	Beyonce	Yes	2015	R&B	2014
U62	Drunk in Love	Jay Z	Yes	2015	R&B	2014
U63	Good Kisser	Usher	Yes	2015	R&B	2014
U64	New Flame	Chris Brown	Yes	2015	R&B	2014
U64	New Flame	Usher	Yes	2015	R&B	2014
U64	New Flame	Rick Ross	Yes	2015	R&B	2014
U65	Options	Luke James	Yes	2015	R&B	2014
U66	The Worst	Jhene Aiko	Yes	2015	R&B	2014
U67	Sail Out	Jhene Aiko	No	2015	R&B	2014
U68	Mali is...	Mali Music	No	2015	R&B	2014
U69	Love, Marriage & Divorce	Toni Braxton	No	2015	R&B	2014
U69	Love, Marriage & Divorce	Babyface	No	2015	R&B	2014
U70	Islander	Bernhoft	No	2015	R&B	2014
U71	Lift Your Spirit	Aloe Blacc	No	2015	R&B	2014
U72	Black Radio 2	Robert Glasper Experiment	No	2015	R&B	2014
U73	Give The People What They Want	Sharon Jones	No	2015	R&B	2014
U73	Give The People What They Want	The Dap-Kings	No	2015	R&B	2014
U74	i	Kendrick Lamar	Yes	2015	Rap	2014
U75	Anaconda	Nicki Minaj	Yes	2015	Rap	2014
U76	Bound 2	Kanye West	Yes	2015	Rap	2014
U76	Bound 2	Charlie Wilson	Yes	2015	Rap	2014
U77	We Dem Boyz	Wiz Khalifa	Yes	2015	Rap	2014
U78	0 to 100 / The Catch Up	Drake	Yes	2015	Rap	2014
U79	The MArshall Mathers LP 2	Eminem	No	2015	Rap	2014
U80	The New Classic	Iggy Azalea 	No	2015	Rap	2014
U81	Because the Internet	Childish Gambino	No	2015	Rap	2014
U82	Nobody's Smiling	Common	No	2015	Rap	2014
U83	Oxymoron	ScHoolboy Q	No	2015	Rap	2014
U84	Blacc Hollywood	Wiz Khalifa	No	2015	Rap	2014
U85	I'm Not Gonna Miss You	Glen Campbell	Yes	2015	Country	2014
U86	American Kids	Kenny Chesney	Yes	2015	Country	2014
U87	Automatic	Miranda Lambert	Yes	2015	Country	2014
U88	Give Me Back My Hometown	Eric Church	Yes	2015	Country	2014
U89	Meanwhile Back at Mama's	Tim McGraw	Yes	2015	Country	2014
U89	Meanwhile Back at Mama's	Faith Hill	Yes	2015	Country	2014
U90	Platinum	Miranda Lambert	No	2015	Country	2014
U91	Riser	Dierks Bentley	No	2015	Country	2014
U92	The Outsiders	Eric Church	No	2015	Country	2014
U93	12 Stories	Brandy Clark	No	2015	Country	2014
U94	The Way I'm Livin'	Lee Ann Womack	No	2015	Country	2014
