Name	PlaceOrigin	Occupation	Gender	Birthdate
Alejandro G. Inarritu	Mexico	Director	Male	8/15/1963
John Lesher	America	Producer	Male	5/12/1966
James W. Skotchdopole	America	Producer	Male	Unknown
Sam Smith	England	Musician	Male	5/19/1992
Iggy Azalea	Australia	Musician	Female	6/7/1990
Charli XCX	England	Musician	Female	8/2/1992
Sia	Australia	Musician	Female	12/18/1975
Taylor Swift	America	Musician	Female	12/13/1989
Meghan Trainor	America	Musician	Female	12/22/1993
Beck	America	Musician	Male	7/8/1970
Beyonce	America	Musician	Female	9/4/1981
Ed Sheeran	England	Musician	Male	2/17/1991
Pharrell Williams	America	Musician	Male	4/5/1973
Andrew Hozier-Byrne	Ireland	Musician	Male	3/17/1990
John Legend	America	Musician	Male	12/28/1978
A Great Big World	America	Musical Group	NULL	NULL
Christina Aguilera	America	Musician	Female	12/18/1980
Coldplay	Britain	Musical Group	NULL	NULL
Jessie J	England	Musician	Female	3/27/1988
Katy Perry	America	Musician	Female	10/25/1984
Juicy J	America	Musician	Male	4/5/1975
Miley Cyrus	America	Musician	Female	11/23/1992
Ariana Grande	America	Musician	Female	6/26/1993
Tony Bennett	America	Musician	Male	8/3/1926
Lady Gaga	America	Musician	Female	3/28/1986
Annie Lennox	Scotland	Musician	Female	12/25/1954
Barry Manilow	America	Musician	Male	6/17/1943
Johnny Mathis	America	Musician	Male	9/30/1935
Barbra Streisand	America	Musician	Female	4/24/1942
Clean Bandit	England	Musical Group	NULL	NULL
Jess Glynne	Britain	Musician	Female	10/20/1989
Basement Jaxx	England	Musical Group	NULL	NULL
ETML				
Disclosure	England	Musical Group	NULL	NULL
Mary J. Blige	America	Musician	Female	1/11/1971
Duke Dumont	Britain	Musician	Male	8/27/1982
Jax Jones	Britain	Musician	Male	Unknown
Zhu	NULL	Musician	Male	1989
Aphex Twin	Ireland	Musician	Male	8/18/1971
deadmau5	Canada	Musician	Male	1/5/1981
Little Dragon	Sweden	Musical Group	NULL	NULL
Royksopp	Norway	Musical Group	NULL	NULL
Robyn	Sweden	Musician	Female	6/12/1979
Mat Zo	England	Musician	Male	4/30/1990
Chris Thile	America	Musician	Male	2/20/1981
Edgar Meyer	America	Musician	Male	11/24/1960
Mindi Abair	America	Musician	Female	5/23/1969
Gerald Albright	America	Musician	Male	8/30/1957
