WorkID	Setting	Title	Iteration	Type	Genre	SongNumber	Year	Theatre	Open	Closed	Previews	Performances	Running
S1	New York	Act One	1	Play	Autobiography	0	2014	Vivian Beaumont Theatre	4/17/2014	6/15/2014	31	67	No
S2	Washington D.C.	All the Way	1	Play	Drama	0	2014	Neil Simon Theatre	3/6/2014	6/29/2014	27	131	No
S3	New York	Casa Valentina	1	Play	NULL	0	2014	Samuel J. Friedman Theatre	4/23/2014	6/29/2014	24	79	No
S4	New York	Mothers and Sons	1	Play	Drama	0	2014	John Golden Theatre	3/24/2014	6/22/2014	33	104	No
S5	Midlands of Ireland	Outside Mullingar	1	Play	Romantic Comedy	0	2014	Samuel J. Friedman Theatre	1/23/2014	3/16/2014	22	61	No
S6	London	A Gentleman's Guide to Love and Murder	1	Musical	Comedy	22	2013	Walter Kerr Theatre	11/17/2013	NULL	30	545	Yes
S7	New York	After Midnight	1	Musical	NULL	29	2013	Brooks Atkinson Theatre	11/3/2013	11/29/2014	18	273	No
S8	Agrabah	Aladdin	1	Musical	NULL	20	2014	New Amsterdam Theatre	3/20/2014	NULL	21	405	Yes
S9	New York	Beautiful: The Carole King Musical	1	Musical	Autobiography	25	2014	Stephen Sondheim Theatre	1/12/2014	NULL	60	482	Yes
S10	Chicago	A Raisin in the Sun	3	Play	Domestic Tragedy	0	2014	Ethel Barrymore Theatre	4/3/2014	6/15/2014	27	85	No
S11	Ireland	The Cripple of Inishmaan	1	Play	Black Comedy	0	2014	Cort Theatre	4/20/2014	7/20/2014	9	105	No
S12	St. Louis	The Glass Menagerie	7	Play	Drama	0	2013	Booth Theatre	9/26/2013	2/23/2014	24	173	No
S13	Ilyria	Twelfth Night	31	Play	Comedy	0	2013	Belasco Theatre	11/10/2013	2/16/2014	18	82	No
S14	Germany	Hedwig and the Angry Inch	1	Musical	NULL	14	2014	Belasco Theatre	4/22/2014	NULL	22	320	Yes
S15	France	Les Miserables	3	Musical	Drama	19	2014	Imperial Theatre	3/23/2014	NULL	22	402	Yes
S16	Oklahoma	Violet	1	Musical	Drama	16	2014	American Airlines Theatre	4/20/2014	8/10/2014	27	128	No
S17	California	Of Mice and Men	3	Play	Drama	0	2014	Longacre Theatre	4/16/2014	7/27/2014	31	118	No
S18	England	Richard III	21	Play	History	0	2013	Belasco Theatre	11/10/2013	2/16/2014	10	31	No
S19	Philadelphia	Lady Day at Emerson's Bar & Grill	1	Play	History	16	2014	Circle in the Square Theatre	4/13/2014	10/5/2014	20	173	No
S20	New York	The Velocity of Autumn	1	Play	Comedy	0	2014	Booth Theatre	4/21/2014	5/4/2014	22	16	No
S21	Philadelphia	Rocky	1	Musical	Drama	21	2014	Winter Garden Theatre	4/13/2014	8/17/2014	28	180	No
S22	NULL	A Night with Janis Joplin	1	Musical	NULL	19	2013	Lyceum Theatre	10/10/2013	2/9/2014	22	140	No
S23	New York	If/Then	1	Musical	NULL	22	2014	Richard Rogers Theatre	3/30/2014	3/22/2015	29	385	No
S24	Iowa	The Bridges of Madison County	1	Musical	NULL	19	2014	Gerald Schoenfeld Theatre	2/20/2014	3/18/2014	37	100	No
S25	Germany	Cabaret	4	Musical	Drama	25	2014	Studio 54	4/24/2014	3/29/2015	35	364	No
S26	New York	Bullets Over Broadway	1	Musical	Comedy	26	2014	St. James Theatre	4/10/2014	8/24/2014	33	156	No
S27	New York	Machinal	2	Play	NULL	0	2014	American Airlines Theatre	1/16/2014	3/2/2014	28	52	No
