WorkID	TitleName
S1	Act One
S2	All the Way
S3	Casa Valentina
S4	Mothers and Sons
S5	Outside Mullingar
S6	A Gentleman's Guide to Love and Murder
S7	After Midnight
S8	Aladdin
S9	Beautiful: The Carole King Musical
S10	A Raisin in the Sun
S11	The Cripple of Inishmaan
S12	The Glass Menagerie
S13	Twelfth Night
S14	Hedwig and the Angry Inch
S15	Les Miserables
S16	Violet
S17	Of Mice and Men
S18	Richard III
S19	Lady Day at Emerson's Bar & Grill
S20	The Velocity of Autumn
S21	Rocky
S22	A Night with Janis Joplin
S23	If/Then
S24	The Bridges of Madison County
S25	Cabaret
S26	Bullets Over Broadway
S27	Machinal
U1	Stay with Me (Darkchild Version)
U2	Fancy
U3	Chandelier
U4	Shake It Off
U5	All About That Bass
U6	Morning Phase
U7	Beyonce
U8	x
U9	In the Lonely Hour
U10	G I R L
U11	Take Me to Church
U12	Happy (Live)
U13	All of Me (Live)
U14	Say Something
U15	A Sky Full of Stars
U16	Bang Bang
U17	Dark Horse
U18	Ghost Stories
U19	Bangerz
U20	My Everything
U21	Prism
U22	Cheek to Cheek
U23	Nostalgia
U24	Night Songs
U25	Sending You a Little Christmas
U26	Partners
U27	Rather Be
U28	Never Say Never
U29	F For You
U30	I Got U
U31	Faded
U32	Syro
U33	while(1<2)
U34	Nabuma Rubberband
U35	Do It Again
U36	Damage Control
U37	Bass & Mandolin
U38	Wild Heart
U39	Slam Dunk
U40	Nathan East
U41	Jazz Funk Soul
U42	Lazaretto
U43	Gimme Something Good
U44	Do I Wanna Know?
U45	Blue Moon
U46	Fever
U47	The Last in Line
U48	Neon Knights
U49	High Road
U50	Heartbreaker
U51	The Negative One
U52	Ain't It Fun
U53	Fever
U54	Ryan Adams
U55	Turn Blue
U56	Hypnotic Eye
U57	Songs of Innocence
U58	St. Vincent
U59	This Is All Yours
U60	Reflektor
U61	Melophobia
U62	Drunk in Love
U63	Good Kisser
U64	New Flame
U65	Options
U66	The Worst
U67	Sail Out
U68	Mali is...
U69	Love, Marriage & Divorce
U70	Islander
U71	Lift Your Spirit
U72	Black Radio 2
U73	Give The People What They Want
U74	i
U75	Anaconda
U76	Bound 2
U77	Me Dem Boyz
U78	0 to 100 / The Catch Up
U79	The MArshall Mathers LP 2
U80	The New Classic
U81	Because the Internet
U82	Nobody's Smiling
U83	Oxymoron
U84	Blacc Hollywood
U85	I'm Not Gonna Miss You
U86	American Kids
U87	Automatic
U88	Give Me Back My Hometown
U89	Meanwhile Back at Mama's
U90	Platinum
U91	Riser
U92	The Outsiders
U93	12 Stories
U94	The Way I'm Livin'
T1	Modern Family
T2	The Big Bang Theory
T3	Louie
T4	Orange is the New Black
T5	Silicon Valley
T6	Veep
T7	Breaking Bad
T8	Downton Abbey
T9	Game of Thrones
T10	House of Cards
T11	Mad Men
T12	True Detective
T13	The Colbert Report
T14	The Daily Show with Jon Stewart
T15	Jimmy Kimmel Live!
T16	Real Time with Bill Maher
T17	Saturday Night Live
T18	The Tonight Show Starring Jimmy Fallon
T19	Fargo
T20	American Horror Story: Coven
T21	Bonnie & Clyde
T22	Luther
T23	Treme
T24	The White Queen
T25	The Normal Heart
T26	Killing Kennedy
T27	Muhammad Ali's Greatest Fight
T28	Sherlock: "His Last Vow"
T29	The Trip to Bountiful
T30	The Amazing Race
T31	Dancing with the Stars
T32	Project Runway
T33	So You Think You Can Dance
T34	Top Chef
T35	The Voice
T36	House of Lies
T37	Derek
T38	Episodes
T39	Shameless
T40	Girls
T41	Nurse Jackie
T42	Mike & Molly
T43	Parks and Recreation
T44	The Newsroom
T45	The Good Wife
T47	Masters of Sex
T48	Homeland
T49	Scandal
T50	Dancing on the Edge
T51	Burton & Taylor
T52	Return to Zero
T53	The Spoils of Babylon
T54	Portlandia
T55	Brooklyn Nine-Nine
T56	Mom
T57	Ray Donovan
T58	Flowers in the Attic
M1	Birdman or (The Unexpected Virtue of Ignorance)
M2	American Sniper
M3	Boyhood
M4	The Grand Budapest Hotel
M5	The Imitation Game
M6	Selma
M7	The Theory of Everything
M8	Whiplash
M9	Foxcatcher
M10	Still Alice
M11	Two Days, One Night
M12	Gone Girl
M13	Wild
M14	The Judge
M15	Into the Woods
M16	Nightcrawler
M17	Inherent Vice
M18	Big Hero 6
M19	The Boxtrolls
M20	How to Train Your Dragon 2
M21	Song of the Sea
M22	The Tale of Princess Kaguya
M23	Ida
M24	Leviathan
M25	Tanagerines
M26	Timbuktu
M27	Wild Tales
M28	Citizenfour
M29	Finding Vivian Maier
M30	Last Days in Vietnam
M31	The Salt of the Earth
M32	Virunga
M33	Crisis Hotline: Veterans Press 1
M34	Joanna
M35	Our Curse
M36	The Reaper
M37	White Earth
M38	The Phone Call
M39	Aya
M40	Boogaloo and Graham
M41	Butter Lamp
M42	Parvaneh
M43	Feast
M44	The Bigger Picture
M45	12 Years a Slave
M46	American Hustle
M47	Captain Phillips
M48	Dallas Buyers Club
M49	Gravity
M50	Her
M51	Nebraska
M52	Philomena
M53	The Wolf of Wall Street
M54	Blue Jasmine
M55	August: Osage County
M56	Before Midnight
M57	Frozen
M58	The Croods
M59	Despicable Me 2
M60	Ernest & Celestine
M61	The Wind Rises
M62	Saving Mr. Banks
M63	Mandela: Long Walk to Freedom
M64	All is Lost
M65	The Hobbit: The Desolation of Smaug
M66	Lone Survivor
M67	Inside Llewyn Davis
M68	The Great Gatsby
M69	The Dam Keeper
M70	Me and My Moulton
M71	A Single Life
M72	Interstellar
M73	Mr. Turner
M74	The Lego Movie
M75	Beyond the Lights
M76	Glen Campbell: I'll Be Me
M77	Begin Again
M78	The Hobbit: The Battle of the Five Armies
M79	Unbroken
M80	Guardians of the Galaxy
M81	Maleficent
M82	Captain America: The Winter Soldier
M83	Dawn of the Planet of the Apes
M84	X-Men: Days of Future Past
